symbol,dollar_volume
TSLA,37675047100.93549
NVDA,36065914360.9856
QQQ,29540842931.797253
AAPL,15817107761.062773
META,11653802249.678598
AMZN,11429645906.671524
MSFT,10163236899.153502
PLTR,9784400406.573826
TQQQ,8256910509.235998
AVGO,6433929730.4733
GOOGL,6247228010.266999
MSTR,5751884880.808499
SQQQ,5177928505.55175
NFLX,5115836038.7056
TLT,4825450199.444001
AMD,4503303893.487901
GOOG,4137725494.5318003
UNH,3849543717.7551746
BABA,3513885194.5923
TSM,3488571906.305
BRK.B,3404902473.5271
JPM,3319809535.0241504
LLY,3073257614.1921496
COST,2683758400.9273005
APP,2676153084.34215
V,2501715640.3907504
BAC,2438373307.2902503
SMH,2412529586.59095
MU,2404127312.07935
WMT,2367587582.16345
TSLL,2243005085.79
INTC,2227172967.302
XOM,2145276039.39135
HOOD,2141762638.0020752
IBIT,2056772273.9186502
GS,1894470494.9668
CRM,1875931171.0568
ABBV,1830925295.1316001
MA,1821511542.6979501
JNJ,1804190934.5095503
CVX,1723910871.5136003
NKE,1712007040.89525
TXN,1688306996.8799999
BA,1668259886.0593002
ADBE,1664457564.6692998
SMCI,1628291885.5505252
CSCO,1621599114.1794999
ORCL,1618350077.123275
IEF,1594780240.01685
NOW,1590561579.7023752
F,1526469929.0586
COIN,1512476212.258325
C,1508812442.552525
CRWD,1495046644.175175
PDD,1490514791.87625
PG,1486188851.9145
GE,1478979387.0877502
QCOM,1474251386.5856001
HD,1473352085.952
ASML,1444755626.26395
WFC,1423438516.766875
MRK,1408872971.6885
BKNG,1408577892.9792001
SOXX,1399918368.61195
UBER,1391743900.736
AMAT,1388050431.1836748
SPOT,1371789670.5724
MCD,1360031044.9868999
KO,1355151201.300875
PFE,1319053521.1464999
GEV,1301276117.1682
SHOP,1287119279.387925
ISRG,1270739095.9785
T,1201543507.4352
IBM,1192542813.088
PEP,1192122476.7441
TMO,1191681288.8103502
ACN,1190200843.562625
TMUS,1187662135.8655498
MRVL,1186197870.070125
INTU,1179706310.27535
VZ,1163631370.737
CVNA,1138979262.3899
DIS,1134950632.046
SBUX,1133964486.6201
AXP,1129230783.37575
LIN,1115038290.4731
PM,1095971229.692325
PGR,1082732457.78335
LULU,1078544940.52165
PANW,1073367399.706
MS,1070892650.0447999
CAT,1068971391.0414001
ETN,1063997816.285525
ABT,1044794123.26835
NVDL,1036609881.19605
BRK.A,1025903596.577475
HON,1023719235.6424499
SCHW,1009230227.7049501
LRCX,1007746118.0145001
GILD,1006568786.927875
BSX,989056258.0029999
MELI,983306505.0366
KLAC,976798140.7219001
ADI,973765924.9720501
CMCSA,970668668.1087749
VST,968386806.035175
COF,963569908.6297749
AMGN,959665997.88045
ANET,953072977.5867499
BX,948164532.4987501
VRT,945900481.245125
TGT,925406449.7512001
CEG,891679937.343
DASH,888961928.5602
DHR,880536947.447625
DELL,870375243.325
NEE,864926183.0398749
TJX,858250581.8004001
BLK,857926545.73565
KKR,841783091.1969501
COP,837937500.1367999
UAL,837389614.22025
SLB,831455790.7481501
FCX,829877360.1004249
SHV,828174654.1181749
VRTX,824584797.714375
ELV,811301642.95625
UNP,809192893.9829501
MCK,806780622.3582
GM,803361480.584
LMT,802920282.524325
CME,788721638.17325
PYPL,788503875.3382499
TSLQ,785270451.34975
CRWV,782324722.8803905
AMT,779810967.9555
RDDT,778840327.4822251
NEM,775556343.892975
QQQM,764105911.2432
CVS,763547192.26365
BMY,761405079.9591
PLD,743760909.2931999
NXPI,743329766.6803125
SE,741921438.53915
EMB,739699483.73095
DE,716962606.4142001
APO,716704490.4772501
OXY,715084083.9235001
ABNB,714120758.3559
FI,711893261.1384001
AAL,709567005.6557251
SNOW,709243912.28625
RTX,708095916.1530001
MO,705818050.565025
ICE,704065705.2578498
ORLY,703041998.000625
SYK,698223854.0115
SHW,696440036.778275
SPGI,693492658.1887999
MPWR,690260070.74025
CMG,688217381.7598749
VCIT,679312927.2922
MDLZ,679209307.055125
BND,678378908.3343999
CRH,677711423.1468999
HLT,673772270.416425
MDT,670635459.87555
UPS,668890495.17125
LOW,667731856.6173
NVO,666492404.2257749
FLUT,665675151.67395
MMM,664768078.9960501
MCHP,661033941.8664
SOFI,658263760.95715
DAL,650163730.1933
HIMS,647198305.7211
REGN,647102491.318625
NU,645865259.01755
MMC,643177538.571075
ADP,642592592.4924248
DLTR,632486728.68295
AZO,621314603.8848
WDAY,618454356.0087
KR,614821756.950525
PH,613489032.0231
AEP,612082338.7836
ARM,611415204.1353
RH,608816759.7248999
CI,600053532.999875
JD,597607554.0850625
SNPS,592443190.0702
RCL,582447530.963375
TT,579419100.1242
SHY,577962008.75
APH,576059035.3876
CDNS,572495665.9838501
EQIX,568448136.255375
TTD,563138170.11135
NOC,560744648.1086999
